date,city,county,state,venue,candidate,rally,name,lat,lon,DMA,GEOID
2016-10-26,Tampa,NA,FL,Curtis Hixon Waterfront Park,clinton,"Curtis Hixon Waterfront Park, Tampa, FL","Curtis Hixon Waterfront Park, 600 N Ashley Dr, Tampa, FL 33602, USA",27.9488601,-82.4615812,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12057
2016-10-27,Winston-Salem,NA,NC,Veterans Memorial Coliseum,clinton,"Veterans Memorial Coliseum, Winston-Salem, NC","2825 University Pkwy, Winston-Salem, NC 27105, USA",36.12770769999999,-80.2574934,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37067
2016-10-28,Cedar Rapis,NA,IA,New Bo City Market Courtyard,clinton,"New Bo City Market Courtyard, Cedar Rapis, IA","1100 3rd St SE, Cedar Rapids, IA 52401, USA",41.971107,-91.6576815,CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA),19113
2016-10-28,Des Moines,NA,IA,Theodore Roosevelt HS,clinton,"Theodore Roosevelt HS, Des Moines, IA","4419 Center St, Des Moines, IA 50312, USA",41.5926971,-93.6790358,DES MOINES (IA) - AMES (IA),19153
2016-11-02,Las Vegas,NA,NV,Plumbers & Pipefitters Training Center,clinton,"Plumbers & Pipefitters Training Center, Las Vegas, NV","1803 W 4th St, Coffeyville, KS 67337, USA",37.0405086,-95.64393319999999,TULSA (OK),20125
2016-11-02,Tempe,NA,AZ,Sun Devil Fitness Complex,clinton,"Sun Devil Fitness Complex, Tempe, AZ","400 E Apache Blvd, Tempe, AZ 85287, USA",33.415661,-111.931986,PHOENIX (AZ),04013
2016-11-03,Raleigh,NA,NC,Coastal Credit Union Music Park,clinton,"Coastal Credit Union Music Park, Raleigh, NC","3801 Rock Quarry Rd, Raleigh, NC 27610, USA",35.7493881,-78.5763028,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),37183
2016-11-04,Detroit,NA,MI,Eastern Market,clinton,"Eastern Market, Detroit, MI","Eastern Market, Detroit, MI, USA",42.3484978,-83.0401653,DETROIT (MI),26163
2016-11-04,Pittsburgh,NA,PA,"Heinz Field, Great Hall",clinton,"Heinz Field, Great Hall, Pittsburgh, PA","100 Art Rooney Ave, Pittsburgh, PA 15212, USA",40.4467648,-80.0157603,PITTSBURGH (PA),42003
2016-11-07,Raleigh,NA,NC,Reynolds Coliseum,clinton,"Reynolds Coliseum, Raleigh, NC","2411 Dunn Ave, Raleigh, NC 27607, USA",35.7840192,-78.66966649999999,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),37183
2016-11-07,Philadelphia,NA,PA,Independence Hall,clinton,"Independence Hall, Philadelphia, PA","Independence Hall, 520 Chestnut St, Philadelphia, PA 19106, USA",39.9488737,-75.1500233,PHILADELPHIA (PA),42101
2016-11-07,Pittsburgh,NA,PA,University of Pittsburgh,clinton,"University of Pittsburgh, Pittsburgh, PA","4200 Fifth Ave, Pittsburgh, PA 15260, USA",40.4443533,-79.960835,PITTSBURGH (PA),42003
2016-11-07,Allendale,NA,MI,Grand Valley State U. Fieldhouse,clinton,"Grand Valley State U. Fieldhouse, Allendale, MI","Fieldhouse, Allendale, MI 49401, USA",42.9668492,-85.8897201,GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI),26139
